game_date,player_name,diff_rolling_OBA,rank,estimation_type
2024-03-20,Manny Machado,-6.08,1,Overestimated
2024-03-20,Max Muncy,-3.71,2,Overestimated
2024-03-20,Mike Zunino,-2.53,3,Overestimated
2024-03-20,Mike Trout,-1.38,4,Overestimated
2024-03-20,Kyle Tucker,-1.21,5,Overestimated
2024-03-21,Manny Machado,-4.05,1,Overestimated
2024-03-21,Max Muncy,-3.61,2,Overestimated
2024-03-21,Mike Trout,-2.38,3,Overestimated
2024-03-21,Mike Zunino,-1.98,4,Overestimated
2024-03-21,Shohei Ohtani,-1.95,5,Overestimated
2024-03-22,Max Muncy,-2.81,1,Overestimated
2024-03-22,Manny Machado,-2.71,2,Overestimated
2024-03-22,Mike Zunino,-2.48,3,Overestimated
2024-03-22,Mike Trout,-1.92,4,Overestimated
2024-03-22,Marcus Semien,-1.09,5,Overestimated
2024-03-23,Max Muncy,-3.32,1,Overestimated
2024-03-23,Manny Machado,-2.3,2,Overestimated
2024-03-23,Mike Trout,-1.9,3,Overestimated
2024-03-23,Mike Zunino,-1.45,4,Overestimated
2024-03-23,Kyle Tucker,-0.68,5,Overestimated
2024-03-24,Max Muncy,-2.81,1,Overestimated
2024-03-24,Mike Trout,-1.84,2,Overestimated
2024-03-24,Kyle Tucker,-1.74,3,Overestimated
2024-03-24,Mike Zunino,-1.04,4,Overestimated
2024-03-24,Manny Machado,-0.97,5,Overestimated
2024-03-25,Max Muncy,-2.75,1,Overestimated
2024-03-25,Mike Zunino,-1.13,2,Overestimated
2024-03-25,Marcus Semien,-0.92,3,Overestimated
2024-03-25,Manny Machado,-0.9,4,Overestimated
2024-03-25,Mike Trout,-0.8,5,Overestimated
2024-03-26,Max Muncy,-2.04,1,Overestimated
2024-03-26,Marcus Semien,-1.24,2,Overestimated
2024-03-26,Mike Zunino,-0.93,3,Overestimated
2024-03-26,Manny Machado,-0.81,4,Overestimated
2024-03-26,Kyle Tucker,-0.7,5,Overestimated
2024-03-27,Max Muncy,-1.89,1,Overestimated
2024-03-27,Marcus Semien,-1.39,2,Overestimated
2024-03-27,Manny Machado,-1.01,3,Overestimated
2024-03-27,Mike Zunino,-0.63,4,Overestimated
2024-03-27,Kyle Tucker,-0.41,5,Overestimated
2024-03-28,Marcus Semien,-1.69,1,Overestimated
2024-03-28,Max Muncy,-1.49,2,Overestimated
2024-03-28,Manny Machado,-0.69,3,Overestimated
2024-03-28,Mike Zunino,-0.65,4,Overestimated
2024-03-28,Kyle Tucker,-0.6,5,Overestimated
2024-03-29,Marcus Semien,-1.35,1,Overestimated
2024-03-29,Max Muncy,-1.09,2,Overestimated
2024-03-29,Mike Zunino,-0.82,3,Overestimated
2024-03-29,Manny Machado,-0.74,4,Overestimated
2024-03-29,Kyle Tucker,-0.34,5,Overestimated
2024-03-30,Marcus Semien,-1.62,1,Overestimated
2024-03-30,Max Muncy,-1.05,2,Overestimated
2024-03-30,Mike Trout,-0.64,3,Overestimated
2024-03-30,Mike Zunino,-0.63,4,Overestimated
2024-03-30,Manny Machado,-0.49,5,Overestimated
2024-03-31,Marcus Semien,-1.27,1,Overestimated
2024-03-31,Mike Zunino,-1.15,2,Overestimated
2024-03-31,Max Muncy,-0.5,3,Overestimated
2024-03-31,Shohei Ohtani,-0.47,4,Overestimated
2024-03-31,Mike Trout,-0.42,5,Overestimated
2024-04-01,Marcus Semien,-1.35,1,Overestimated
2024-04-01,Mike Zunino,-1.2,2,Overestimated
2024-04-01,Max Muncy,-0.5,3,Overestimated
2024-04-01,Shohei Ohtani,-0.49,4,Overestimated
2024-04-01,Mike Trout,-0.33,5,Overestimated
2024-04-02,Mike Zunino,-1.04,1,Overestimated
2024-04-02,Marcus Semien,-1.01,2,Overestimated
2024-04-02,Shohei Ohtani,-0.77,3,Overestimated
2024-04-02,Max Muncy,-0.52,4,Overestimated
2024-04-02,Mike Trout,-0.24,5,Overestimated
2024-04-03,Mike Zunino,-1.0,1,Overestimated
2024-04-03,Marcus Semien,-0.97,2,Overestimated
2024-04-03,Shohei Ohtani,-0.67,3,Overestimated
2024-04-03,Max Muncy,-0.4,4,Overestimated
2024-04-03,Mike Trout,-0.28,5,Overestimated
2024-04-04,Mike Zunino,-1.02,1,Overestimated
2024-04-04,Marcus Semien,-0.86,2,Overestimated
2024-04-04,Shohei Ohtani,-0.77,3,Overestimated
2024-04-04,Max Muncy,-0.41,4,Overestimated
